TMDB ID,IMDb ID,Data proiezione,Film,Selezionatore,Tema,Anno,Regista/i,Durata,Paese/i di produzione,Link IMDb,Media voti F,Media voti I,Media voti P,Pubblico
284290,tt3480158,7-Feb-2022,Ritorno a L'Avana,Daniele,-,2014,Laurent Cantet,95,FR,https://www.imdb.com/title/tt3480158,,,,
41050,tt0054130,21-Feb-2022,La notte,Jolly,-,1961,Michelangelo Antonioni,115,IT; FR,https://www.imdb.com/title/tt0054130,,,,
766798,tt12618926,7-Mar-2022,Madres paralelas,Adriana,-,2021,Pedro Almodóvar,120,ES,https://www.imdb.com/title/tt12618926,,,,
177945,tt2331143,28-Mar-2022,Father And Son,Jolly,-,2013,Hirokazu Kore-eda,121,JP,https://www.imdb.com/title/tt2331143,,,,
504582,tt7921248,19-Apr-2022,La Gomera - L'isola dei fischi,Jolly,-,2019,Corneliu Porumboiu,97,FR; RO; SE; DE,https://www.imdb.com/title/tt7921248,,,,
793998,tt13880104,2-Mag-2022,La scelta di Anne - L'événement,Jolly,-,2021,Audrey Diwan,100,FR,https://www.imdb.com/title/tt13880104,,,,
597208,tt7740496,19-Mag-2022,La fiera delle illusioni - Nightmare Alley,Jolly,-,2021,Guillermo del Toro,150,US,https://www.imdb.com/title/tt7740496,,,,
266082,tt3655522,8-Giu-2022,Diamante nero,Jolly,-,2014,Céline Sciamma,113,FR,https://www.imdb.com/title/tt3655522,,,,
18533,tt1172570,22-Giu-2022,Bronson,Jolly,-,2008,Nicolas Winding Refn,92,GB,https://www.imdb.com/title/tt1172570,,,,
497828,tt7322224,8-Nov-2022,Triangle of Sadness,Jolly,-,2022,Ruben Östlund,147,DK; FR; DE; GR; MX; SE; TR; GB; US,https://www.imdb.com/title/tt7322224,,,,
473033,tt5727208,11-Gen-2023,Diamanti grezzi,Vincenzo,-,2019,Josh Safdie; Benny Safdie,135,US,https://www.imdb.com/title/tt5727208,,,,
94794,tt0106438,18-Gen-2023,Blue,Giuliano,Apnea,1993,Derek Jarman,79,GB,https://www.imdb.com/title/tt0106438,,,,
25364,tt0043338,25-Gen-2023,L'asso nella manica,Francesco,Apnea,1951,Billy Wilder,111,US,https://www.imdb.com/title/tt0043338,,,,
166990,tt2184141,1-Feb-2023,Come un uomo sulla terra,Alessandra,Apnea,2008,Andrea Segre; Dagmawi Yimer,60,IT,https://www.imdb.com/title/tt2184141,,,,
473760,tt7340764,1-Feb-2023,L'ordine delle cose,Alessandra,Apnea,2017,Andrea Segre,115,FR; IT,https://www.imdb.com/title/tt7340764,,,,
314405,tt3278330,15-Feb-2023,Il racconto dei racconti - Tale of Tales,Adriana,Fantasia,2015,Matteo Garrone,125,GB; IT; FR,https://www.imdb.com/title/tt3278330,,,,
539136,tt6256546,22-Feb-2023,Ricordi?,Daniele,Fantasia,2018,Valerio Mieli,106,FR; IT,https://www.imdb.com/title/tt6256546,,,,
27327,tt0071994,1-Mar-2023,Il fantasma del palcoscenico,Jessica,Fantasia,1974,Brian De Palma,92,US,https://www.imdb.com/title/tt0071994,,,,
545611,tt6710474,8-Mar-2023,Everything Everywhere All at Once,Alessandra,-,2022,Daniel Scheinert; Daniel Kwan,140,US,https://www.imdb.com/title/tt6710474,,,,
1850,tt0125664,15-Mar-2023,Man on the Moon,Vincenzo,Stella cadente,1999,Miloš Forman,118,US,https://www.imdb.com/title/tt0125664,,,,
541524,tt8893974,22-Mar-2023,Passing,Adriana,Stella cadente,2021,Rebecca Hall,99,CA; GB; US,https://www.imdb.com/title/tt8893974,,,,
76726,tt1706593,11-Apr-2023,Chronicle,Giuliano,Stella cadente,2012,Josh Trank,84,US,https://www.imdb.com/title/tt1706593,,,,
445,tt0387898,19-Apr-2023,Niente da nascondere,Daniele,L'altro tema,2005,Michael Haneke,117,AT; FR; DE; IT,https://www.imdb.com/title/tt0387898,,,,
137182,tt2024519,26-Apr-2023,Alabama Monroe - Una storia d'amore,Francesco,L'altro tema,2012,Felix van Groeningen,111,BE; NL,https://www.imdb.com/title/tt2024519,,,,
203833,tt0816442,3-Mag-2023,Storia di una ladra di libri,Adriana,L'altro tema,2013,Brian Percival,131,DE; US,https://www.imdb.com/title/tt0816442,,,,
795811,tt14034966,10-Mag-2023,Il gioco del destino e della fantasia,Vincenzo,Parole,2021,Ryusuke Hamaguchi,121,JP,https://www.imdb.com/title/tt14034966,,,,
655,tt0087884,17-Mag-2023,"Paris, Texas",Francesco,Parole,1984,Wim Wenders,147,FR; DE; GB; US,https://www.imdb.com/title/tt0087884,,,,
396,tt0061184,24-Mag-2023,Chi ha paura di Virginia Woolf?,Giuliano,Parole,1966,Mike Nichols,131,US,https://www.imdb.com/title/tt0061184,,,,
65229,tt1847731,31-Mag-2023,Tomboy,Serena,Pazzia,2011,Céline Sciamma,78,FR,https://www.imdb.com/title/tt1847731,,,,
47505,tt0349995,7-Giu-2023,Prendimi l'anima,Adriana,Pazzia,2003,Roberto Faenza,89,FR; IT; GB,https://www.imdb.com/title/tt0349995,,,,
36834,tt0114702,14-Giu-2023,Poeti dall'inferno,Giuliano,Pazzia,1995,Agnieszka Holland,111,FR; BE; GB,https://www.imdb.com/title/tt0114702,,,,
674324,tt11813216,21-Giu-2023,Gli spiriti dell’isola,Jolly,-,2022,Martin McDonagh,109,IE; GB; US,https://www.imdb.com/title/tt11813216,,,,
667935,tt11697844,28-Giu-2023,Il male non esiste,Vincenzo,Deserto,2020,Mohammad Rasoulof,150,DE; IR; CZ,https://www.imdb.com/title/tt11697844,,,,
434775,tt6410564,5-Lug-2023,Il terzo omicidio,Jolly,-,2017,Hirokazu Kore-eda,125,JP,https://www.imdb.com/title/tt6410564,,,,
510,tt0073486,4-Ott-2023,Qualcuno volò sul nido del cuculo,Francesco,-,1975,Miloš Forman,133,US,https://www.imdb.com/title/tt0073486,,,,
627087,tt10189300,11-Ott-2023,Lunana: il villaggio alla fine del mondo,Adriana,-,2019,Pawo Choyning Dorji,110,BT; CN,https://www.imdb.com/title/tt10189300,,,,
238923,tt2990836,18-Ott-2023,L'arte della felicità,Serena,-,2013,Alessandro Rak,76,IT,https://www.imdb.com/title/tt2990836,,,,
588182,tt10262648,25-Ott-2023,Scompartimento n.6,Vincenzo,-,2021,Juho Kuosmanen,106,EE; FI; DE; RU,https://www.imdb.com/title/tt10262648,,,,
309299,tt3726704,8-Nov-2023,Experimenter,Francesco,-,2015,Michael Almereyda,98,US,https://www.imdb.com/title/tt3726704,,,,
